event,date,beginD,endD,O,H,L,C,R,T,V,N,CD,TD,F,P,A,pre_date,pre_R,pre_T,pre_V
fedofficialspeaking,2014-05-29 20:30:00,2014-05-29 20:29:00,2014-05-29 20:40:00,109.8828125,109.8828125,109.8828125,109.8828125,0.0,0.0,9,3,0.0,0.0,,,,2014-05-29 19:30:00,0.0,0.0,22
fedofficialspeaking,2014-05-30 13:00:00,2014-05-30 12:59:00,2014-05-30 13:10:00,109.8828125,109.890625,109.8828125,109.8828125,0.0,1.0,371,123,15.625,5796.875,,,,2014-05-30 12:00:00,-7.109341674960899e-05,1.0,52
fedofficialspeaking,2014-05-30 16:00:00,2014-05-30 15:59:00,2014-05-30 16:10:00,109.8671875,109.875,109.8671875,109.875,7.110858280594468e-05,1.0,132,57,15.625,2062.5,,,,2014-05-30 15:00:00,-7.110352673492605e-05,1.0,2229
fedofficialspeaking,2014-06-02 02:00:00,2014-06-02 01:59:00,2014-06-02 02:10:00,109.859375,109.859375,109.859375,109.859375,0.0,0.0,2167,433,0.0,0.0,,,,2014-06-02 01:00:00,0.0,1.0,55
fedofficialspeaking,2014-06-03 12:50:00,2014-06-03 12:49:00,2014-06-03 13:00:00,109.8203125,109.828125,109.8125,109.8125,-7.113893433876361e-05,2.0,1539,378,31.25,48093.75,,,,2014-06-03 11:50:00,-7.112881428266591e-05,1.0,204
fedofficialspeaking,2014-06-05 12:30:00,2014-06-05 12:29:00,2014-06-05 12:40:00,109.84375,109.8515625,109.84375,109.8515625,7.112375533428166e-05,1.0,446,140,15.625,6968.75,,,,2014-06-05 11:30:00,-7.111869710546903e-05,1.0,484
fedofficialspeaking,2014-06-09 08:10:00,2014-06-09 08:09:00,2014-06-09 08:20:00,109.7578125,109.765625,109.75,109.75,-7.11794433767528e-05,2.0,4737,686,31.25,148031.25,,,,2014-06-09 07:10:00,0.0,1.0,1408
fedofficialspeaking,2014-06-09 12:30:00,2014-06-09 12:29:00,2014-06-09 12:40:00,109.7578125,109.7578125,109.75,109.7578125,0.0,1.0,44,28,15.625,687.5,,,,2014-06-09 11:30:00,0.0,1.0,160
fedofficialspeaking,2014-06-16 19:00:00,2014-06-16 18:59:00,2014-06-16 19:10:00,109.6484375,109.6484375,109.6484375,109.6484375,0.0,0.0,26,13,0.0,0.0,,,,2014-06-16 18:00:00,7.125044531528322e-05,1.0,65
fedofficialspeaking,2014-06-18 12:45:00,2014-06-18 12:44:00,2014-06-18 12:55:00,109.6484375,109.6640625,109.640625,109.6484375,0.0,3.0,5657,847,46.875,265171.875,,,,2014-06-18 11:45:00,7.125552230297848e-05,1.0,1003
fedofficialspeaking,2014-06-18 13:30:00,2014-06-18 13:29:00,2014-06-18 13:40:00,109.6328125,109.65625,109.625,109.65625,0.00021378180004275637,4.0,11175,2892,62.5,698437.5,,,,2014-06-18 12:30:00,-7.125044531528322e-05,1.0,995
fedofficialspeaking,2014-06-24 07:05:00,2014-06-24 07:04:00,2014-06-24 07:15:00,109.671875,109.6796875,109.671875,109.6796875,7.123521869212138e-05,1.0,341,209,15.625,5328.125,,,,2014-06-24 06:05:00,7.123014459719353e-05,1.0,14
fedofficialspeaking,2014-06-24 17:30:00,2014-06-24 17:29:00,2014-06-24 17:40:00,109.6953125,109.6953125,109.6953125,109.6953125,0.0,0.0,2,2,0.0,0.0,,,,2014-06-24 16:30:00,7.121999857560003e-05,1.0,2
fedofficialspeaking,2014-06-26 07:30:00,2014-06-26 07:29:00,2014-06-26 07:40:00,109.7109375,109.734375,109.703125,109.7265625,0.0001424197108879869,4.0,7942,1733,62.5,496375.0,,,,2014-06-26 06:30:00,7.120985544399345e-05,1.0,259
fedofficialspeaking,2014-06-26 12:05:00,2014-06-26 12:04:00,2014-06-26 12:15:00,109.7578125,109.765625,109.7578125,109.7578125,0.0,1.0,5790,700,15.625,90468.75,,,,2014-06-26 11:05:00,0.0,1.0,239
fedofficialspeaking,2014-06-30 12:10:00,2014-06-30 12:09:00,2014-06-30 12:20:00,109.7890625,109.7890625,109.78125,109.7890625,0.0,1.0,120,51,15.625,1875.0,,,,2014-06-30 11:10:00,0.0,1.0,423
fedofficialspeaking,2014-07-02 10:00:00,2014-07-02 09:59:00,2014-07-02 10:10:00,109.734375,109.7421875,109.7265625,109.7265625,-7.119464616260858e-05,2.0,2144,433,31.25,67000.0,,,,2014-07-02 09:00:00,7.120478496154942e-05,2.0,2711
fedofficialspeaking,2014-07-08 12:45:00,2014-07-08 12:44:00,2014-07-08 12:55:00,109.671875,109.6796875,109.671875,109.671875,0.0,1.0,27,27,15.625,421.875,,,,2014-07-08 11:45:00,0.0,1.0,632
fedofficialspeaking,2014-07-09 13:00:00,2014-07-09 12:59:00,2014-07-09 13:10:00,109.6171875,109.6171875,109.59375,109.6171875,0.0,3.0,11379,2783,46.875,533390.625,,,,2014-07-09 12:00:00,-7.126567844925884e-05,1.0,6013
fedofficialspeaking,2014-07-10 12:15:00,2014-07-10 12:14:00,2014-07-10 12:25:00,109.765625,109.765625,109.7578125,109.765625,0.0,1.0,3546,796,15.625,55406.25,,,,2014-07-10 11:15:00,0.0,1.0,635
fedofficialspeaking,2014-07-11 13:45:00,2014-07-11 13:44:00,2014-07-11 13:55:00,109.78125,109.7890625,109.78125,109.78125,0.0,1.0,578,334,15.625,9031.25,,,,2014-07-11 12:45:00,0.0,1.0,4059
fedofficialspeaking,2014-07-15 09:00:00,2014-07-15 08:59:00,2014-07-15 09:10:00,109.765625,109.7890625,109.7578125,109.765625,0.0,4.0,15880,3216,62.5,992500.0,,,,2014-07-15 08:00:00,0.0,1.0,303
fedofficialspeaking,2014-07-16 09:00:00,2014-07-16 08:59:00,2014-07-16 09:10:00,109.6875,109.6953125,109.6875,109.6875,0.0,1.0,2885,592,15.625,45078.125,,,,2014-07-16 08:00:00,7.122507122507122e-05,1.0,208
fedofficialspeaking,2014-07-17 12:35:00,2014-07-17 12:34:00,2014-07-17 12:45:00,109.7421875,109.75,109.7421875,109.7421875,0.0,1.0,3614,925,15.625,56468.75,,,,2014-07-17 11:35:00,0.0,1.0,1358
fedofficialspeaking,2014-08-13 08:05:00,2014-08-13 08:04:00,2014-08-13 08:15:00,109.9140625,109.9140625,109.8984375,109.8984375,-0.00014215651432226883,2.0,3980,671,31.25,124375.0,,,,2014-08-13 07:05:00,0.0,1.0,2902
fedofficialspeaking,2014-08-13 08:20:00,2014-08-13 08:19:00,2014-08-13 08:30:00,109.8984375,109.90625,109.8984375,109.8984375,0.0,1.0,4256,736,15.625,66500.0,,,,2014-08-13 07:20:00,0.0,2.0,1569
fedofficialspeaking,2014-08-20 13:00:00,2014-08-20 12:59:00,2014-08-20 13:10:00,109.8828125,109.8828125,109.8359375,109.84375,-0.00035549235691432633,6.0,17816,3616,93.75,1670250.0,,,,2014-08-20 12:00:00,0.0,1.0,49
fedofficialspeaking,2014-08-22 09:00:00,2014-08-22 08:59:00,2014-08-22 09:10:00,109.8203125,109.84375,109.7890625,109.8046875,-0.00014227786867752722,7.0,29525,4735,109.375,3229296.875,,,,2014-08-22 08:00:00,0.0,1.0,380
fedofficialspeaking,2014-09-03 23:00:00,2014-09-03 22:59:00,2014-09-03 23:10:00,109.4609375,109.46875,109.4609375,109.4609375,0.0,1.0,177,23,15.625,2765.625,,,,2014-09-03 22:00:00,0.0,0.0,81
fedofficialspeaking,2014-09-04 11:30:00,2014-09-04 11:29:00,2014-09-04 11:40:00,109.421875,109.421875,109.4140625,109.421875,0.0,1.0,114,51,15.625,1781.25,,,,2014-09-04 10:30:00,0.00014281633818908883,2.0,5664
fedofficialspeaking,2014-09-04 18:00:00,2014-09-04 17:59:00,2014-09-04 18:10:00,109.4140625,109.4140625,109.4140625,109.4140625,0.0,0.0,4,3,0.0,0.0,,,,2014-09-04 17:00:00,0.0,1.0,385
fedofficialspeaking,2014-09-04 19:15:00,2014-09-04 19:14:00,2014-09-04 19:25:00,109.4140625,109.4140625,109.40625,109.40625,-7.140307033202428e-05,1.0,3,2,15.625,46.875,,,,2014-09-04 18:15:00,0.0,0.0,3
fedofficialspeaking,2014-09-04 20:00:00,2014-09-04 19:59:00,2014-09-04 20:10:00,109.40625,109.40625,109.40625,109.40625,0.0,0.0,3,3,0.0,0.0,,,,2014-09-04 19:00:00,0.0,1.0,26
fedofficialspeaking,2014-09-22 09:05:00,2014-09-22 09:04:00,2014-09-22 09:15:00,109.3828125,109.390625,109.3828125,109.3828125,0.0,1.0,589,339,15.625,9203.125,,,,2014-09-22 08:05:00,0.0,1.0,379
fedofficialspeaking,2014-09-22 18:30:00,2014-09-22 18:29:00,2014-09-22 18:40:00,109.40625,109.4140625,109.40625,109.4140625,7.140816909454442e-05,1.0,3,2,15.625,46.875,,,,2014-09-22 17:30:00,0.0,1.0,76
fedofficialspeaking,2014-09-23 08:00:00,2014-09-23 07:59:00,2014-09-23 08:10:00,109.421875,109.4296875,109.421875,109.421875,0.0,1.0,47,32,15.625,734.375,,,,2014-09-23 07:00:00,0.0,1.0,1838
fedofficialspeaking,2014-09-23 08:20:00,2014-09-23 08:19:00,2014-09-23 08:30:00,109.421875,109.4296875,109.421875,109.421875,0.0,1.0,879,515,15.625,13734.375,,,,2014-09-23 07:20:00,0.0,2.0,2238
fedofficialspeaking,2014-09-23 08:30:00,2014-09-23 08:29:00,2014-09-23 08:40:00,109.421875,109.4296875,109.421875,109.421875,0.0,1.0,1223,608,15.625,19109.375,,,,2014-09-23 07:30:00,-7.138777841233581e-05,1.0,1437
fedofficialspeaking,2014-09-23 13:00:00,2014-09-23 12:59:00,2014-09-23 13:10:00,109.4453125,109.453125,109.4453125,109.4453125,0.0,1.0,9598,1579,15.625,149968.75,,,,2014-09-23 12:00:00,0.0001427959445951735,2.0,11773
fedofficialspeaking,2014-09-23 20:15:00,2014-09-23 20:14:00,2014-09-23 20:25:00,109.4375,109.4375,109.4296875,109.4296875,-7.138777841233581e-05,1.0,27,2,15.625,421.875,,,,2014-09-23 19:15:00,-7.138268256121065e-05,1.0,122
fedofficialspeaking,2014-09-24 11:15:00,2014-09-24 11:14:00,2014-09-24 11:25:00,109.4375,109.4375,109.4296875,109.4375,0.0,1.0,1020,539,15.625,15937.5,,,,2014-09-24 10:15:00,-7.138777841233581e-05,1.0,6194
fedofficialspeaking,2014-09-24 12:00:00,2014-09-24 11:59:00,2014-09-24 12:10:00,109.4375,109.4375,109.4296875,109.4296875,-7.138777841233581e-05,1.0,2915,1108,15.625,45546.875,,,,2014-09-24 11:00:00,7.139287499107589e-05,1.0,6179
fedofficialspeaking,2014-09-25 12:20:00,2014-09-25 12:19:00,2014-09-25 12:30:00,109.46875,109.46875,109.4609375,109.46875,0.0,1.0,383,162,15.625,5984.375,,,,2014-09-25 11:20:00,7.136739937196689e-05,1.0,12
fedofficialspeaking,2014-09-29 08:00:00,2014-09-29 07:59:00,2014-09-29 08:10:00,109.453125,109.46875,109.453125,109.4609375,7.137758743754462e-05,2.0,5982,1581,31.25,186937.5,,,,2014-09-29 07:00:00,7.137758743754462e-05,1.0,809
fedofficialspeaking,2014-09-30 09:45:00,2014-09-30 09:44:00,2014-09-30 09:55:00,109.421875,109.4296875,109.421875,109.4296875,7.139797229758674e-05,1.0,81,42,15.625,1265.625,,,,2014-09-30 08:45:00,7.139797229758674e-05,2.0,7468
fedofficialspeaking,2014-10-02 11:00:00,2014-10-02 10:59:00,2014-10-02 11:10:00,109.59375,109.6015625,109.5859375,109.5859375,-7.128599942971201e-05,2.0,4938,1116,31.25,154312.5,,,,2014-10-02 10:00:00,7.129616426636246e-05,2.0,14801
fedofficialspeaking,2014-10-02 12:00:00,2014-10-02 11:59:00,2014-10-02 12:10:00,109.578125,109.5859375,109.578125,109.578125,0.0,1.0,489,259,15.625,7640.625,,,,2014-10-02 11:00:00,-7.128599942971201e-05,2.0,4938
fedofficialspeaking,2014-10-02 19:00:00,2014-10-02 18:59:00,2014-10-02 19:10:00,109.5546875,109.5546875,109.546875,109.546875,-7.131141695785496e-05,1.0,1218,226,15.625,19031.25,,,,2014-10-02 18:00:00,0.0,0.0,2
fedofficialspeaking,2014-10-06 19:30:00,2014-10-06 19:29:00,2014-10-06 19:40:00,109.5390625,109.5390625,109.53125,109.53125,-7.132158904500393e-05,1.0,94,51,15.625,1468.75,,,,2014-10-06 18:30:00,0.0,0.0,23
fedofficialspeaking,2014-10-07 13:30:00,2014-10-07 13:29:00,2014-10-07 13:40:00,109.6328125,109.640625,109.625,109.625,-7.126060001425212e-05,2.0,12580,1871,31.25,393125.0,,,,2014-10-07 12:30:00,7.127075760815338e-05,1.0,6012
fedofficialspeaking,2014-10-07 14:00:00,2014-10-07 13:59:00,2014-10-07 14:10:00,109.609375,109.609375,109.59375,109.6015625,-7.127583749109053e-05,2.0,9806,2522,31.25,306437.5,,,,2014-10-07 13:00:00,-7.126567844925884e-05,1.0,4244
fedofficialspeaking,2014-10-07 15:30:00,2014-10-07 15:29:00,2014-10-07 15:40:00,109.6171875,109.625,109.6171875,109.6171875,0.0,1.0,207,114,15.625,3234.375,,,,2014-10-07 14:30:00,7.128091809822511e-05,2.0,6811
fedofficialspeaking,2014-10-08 07:30:00,2014-10-08 07:29:00,2014-10-08 07:40:00,109.59375,109.6015625,109.5859375,109.6015625,7.128599942971201e-05,2.0,9310,1647,31.25,290937.5,,,,2014-10-08 06:30:00,0.0,2.0,1641
fedofficialspeaking,2014-10-08 13:00:00,2014-10-08 12:59:00,2014-10-08 13:10:00,109.59375,109.703125,109.5859375,109.671875,0.00071285999429712,15.0,30107,7174,234.375,7056328.125,,,,2014-10-08 12:00:00,-7.127075760815338e-05,2.0,11087
fedofficialspeaking,2014-10-09 08:45:00,2014-10-09 08:44:00,2014-10-09 08:55:00,109.7265625,109.734375,109.7265625,109.7265625,0.0,1.0,2017,554,15.625,31515.625,,,,2014-10-09 07:45:00,7.118957784580338e-05,3.0,8941
fedofficialspeaking,2014-10-09 12:10:00,2014-10-09 12:09:00,2014-10-09 12:20:00,109.734375,109.7578125,109.7265625,109.7578125,0.00021358393848782572,4.0,24335,3172,62.5,1520937.5,,,,2014-10-09 11:10:00,-7.119464616260858e-05,2.0,4188
fedofficialspeaking,2014-10-09 12:15:00,2014-10-09 12:14:00,2014-10-09 12:25:00,109.734375,109.7578125,109.7265625,109.7421875,7.119464616260858e-05,4.0,26555,2484,62.5,1659687.5,,,,2014-10-09 11:15:00,-7.118957784580338e-05,2.0,4946
fedofficialspeaking,2014-10-09 12:30:00,2014-10-09 12:29:00,2014-10-09 12:40:00,109.734375,109.75,109.734375,109.7421875,7.119464616260858e-05,2.0,20180,1788,31.25,630625.0,,,,2014-10-09 11:30:00,-7.119464616260858e-05,1.0,3935
fedofficialspeaking,2014-10-09 14:40:00,2014-10-09 14:39:00,2014-10-09 14:50:00,109.7265625,109.734375,109.7265625,109.734375,7.119971520113919e-05,1.0,1055,204,15.625,16484.375,,,,2014-10-09 13:40:00,7.119971520113919e-05,2.0,3163
fedofficialspeaking,2014-10-10 08:00:00,2014-10-10 07:59:00,2014-10-10 08:10:00,109.7265625,109.734375,109.71875,109.71875,-7.119971520113919e-05,2.0,2213,862,31.25,69156.25,,,,2014-10-10 07:00:00,0.0,1.0,885
fedofficialspeaking,2014-10-10 12:00:00,2014-10-10 11:59:00,2014-10-10 12:10:00,109.75,109.7578125,109.7421875,109.75,0.0,2.0,4263,770,31.25,133218.75,,,,2014-10-10 11:00:00,-7.118451025056947e-05,1.0,1424
fedofficialspeaking,2014-10-10 13:08:00,2014-10-10 13:07:00,2014-10-10 13:18:00,109.7578125,109.765625,109.7578125,109.7578125,0.0,1.0,2700,593,15.625,42187.5,,,,2014-10-10 12:08:00,-7.11794433767528e-05,1.0,2326
fedofficialspeaking,2014-10-10 14:00:00,2014-10-10 13:59:00,2014-10-10 14:10:00,109.7578125,109.765625,109.75,109.765625,7.11794433767528e-05,2.0,15352,2843,31.25,479750.0,,,,2014-10-10 13:00:00,0.0,0.0,2077
fedofficialspeaking,2014-10-13 11:30:00,2014-10-13 11:29:00,2014-10-13 11:40:00,109.84375,109.8515625,109.84375,109.8515625,7.112375533428166e-05,1.0,714,156,15.625,11156.25,,,,2014-10-13 10:30:00,-7.111363959607453e-05,3.0,1666
fedofficialspeaking,2014-10-16 07:00:00,2014-10-16 06:59:00,2014-10-16 07:10:00,110.0625,110.0625,110.03125,110.046875,-0.00014196479273140261,4.0,19350,2086,62.5,1209375.0,,,,2014-10-16 06:00:00,0.0002128867442520579,4.0,5277
fedofficialspeaking,2014-10-16 08:00:00,2014-10-16 07:59:00,2014-10-16 08:10:00,110.0625,110.0625,110.0546875,110.0546875,-7.098239636570131e-05,1.0,7509,1184,15.625,117328.125,,,,2014-10-16 07:00:00,-0.00014196479273140261,4.0,19350
fedofficialspeaking,2014-10-16 09:00:00,2014-10-16 08:59:00,2014-10-16 09:10:00,109.9921875,110.0078125,109.9765625,109.984375,-7.102777185879679e-05,4.0,13267,2148,62.5,829187.5,,,,2014-10-16 08:00:00,-7.098239636570131e-05,1.0,7509
fedofficialspeaking,2014-10-16 11:45:00,2014-10-16 11:44:00,2014-10-16 11:55:00,109.9609375,109.96875,109.953125,109.9609375,0.0,2.0,1482,324,31.25,46312.5,,,,2014-10-16 10:45:00,7.103786318107552e-05,2.0,8394
fedofficialspeaking,2014-10-17 07:30:00,2014-10-17 07:29:00,2014-10-17 07:40:00,109.953125,109.9609375,109.9375,109.9609375,7.105300554213443e-05,3.0,6820,1555,46.875,319687.5,,,,2014-10-17 06:30:00,7.105805443046969e-05,2.0,2224
fedofficialspeaking,2014-10-20 09:00:00,2014-10-20 08:59:00,2014-10-20 09:10:00,109.96875,109.9765625,109.9609375,109.9765625,7.104290991759022e-05,2.0,4698,920,31.25,146812.5,,,,2014-10-20 08:00:00,0.0001421262080727686,2.0,1829
fedofficialspeaking,2014-10-22 14:30:00,2014-10-22 14:29:00,2014-10-22 14:40:00,109.9296875,109.9375,109.921875,109.9375,7.106815436003127e-05,2.0,2124,560,31.25,66375.0,,,,2014-10-22 13:30:00,0.0,1.0,324
fedofficialspeaking,2014-10-30 08:00:00,2014-10-30 07:59:00,2014-10-30 08:10:00,109.8046875,109.8203125,109.8046875,109.8125,7.114905727499111e-05,2.0,6322,1145,31.25,197562.5,,,,2014-10-30 07:00:00,-0.00014230823964707557,3.0,3857
fedofficialspeaking,2014-11-03 08:30:00,2014-11-03 08:29:00,2014-11-03 08:40:00,109.7734375,109.7734375,109.7578125,109.765625,-7.116931179275497e-05,2.0,3830,440,31.25,119687.5,,,,2014-11-03 07:30:00,0.0,2.0,3923
fedofficialspeaking,2014-11-03 11:40:00,2014-11-03 11:39:00,2014-11-03 11:50:00,109.734375,109.7421875,109.7265625,109.7265625,-7.119464616260858e-05,2.0,1505,477,31.25,47031.25,,,,2014-11-03 10:40:00,0.0,1.0,424
fedofficialspeaking,2014-11-05 08:15:00,2014-11-05 08:14:00,2014-11-05 08:25:00,109.734375,109.734375,109.7265625,109.734375,0.0,1.0,3009,417,15.625,47015.625,,,,2014-11-05 07:15:00,0.0,3.0,11191
fedofficialspeaking,2014-11-05 08:30:00,2014-11-05 08:29:00,2014-11-05 08:40:00,109.734375,109.7421875,109.734375,109.734375,0.0,1.0,3467,694,15.625,54171.875,,,,2014-11-05 07:30:00,0.00014240956992309884,2.0,3450
fedofficialspeaking,2014-11-05 09:00:00,2014-11-05 08:59:00,2014-11-05 09:10:00,109.7265625,109.7421875,109.7265625,109.734375,7.119971520113919e-05,2.0,5513,1205,31.25,172281.25,,,,2014-11-05 08:00:00,7.119971520113919e-05,2.0,3659
fedofficialspeaking,2014-11-06 09:40:00,2014-11-06 09:39:00,2014-11-06 09:50:00,109.7265625,109.734375,109.71875,109.71875,-7.119971520113919e-05,2.0,3190,797,31.25,99687.5,,,,2014-11-06 08:40:00,7.120985544399345e-05,1.0,8954
fedofficialspeaking,2014-11-06 12:30:00,2014-11-06 12:29:00,2014-11-06 12:40:00,109.6953125,109.703125,109.6953125,109.6953125,0.0,1.0,97,76,15.625,1515.625,,,,2014-11-06 11:30:00,0.0,1.0,292
fedofficialspeaking,2014-11-06 18:05:00,2014-11-06 18:04:00,2014-11-06 18:15:00,109.6640625,109.671875,109.6640625,109.671875,7.124029351000925e-05,1.0,115,9,15.625,1796.875,,,,2014-11-06 17:05:00,-7.123014459719353e-05,1.0,74
fedofficialspeaking,2014-11-07 08:15:00,2014-11-07 08:14:00,2014-11-07 08:25:00,109.734375,109.7421875,109.7265625,109.734375,0.0,2.0,8098,1037,31.25,253062.5,,,,2014-11-07 07:15:00,-7.123521869212138e-05,2.0,5185
fedofficialspeaking,2014-11-07 08:15:00,2014-11-07 08:14:00,2014-11-07 08:25:00,109.734375,109.7421875,109.7265625,109.734375,0.0,2.0,8098,1037,31.25,253062.5,,,,2014-11-07 07:15:00,-7.123521869212138e-05,2.0,5185
fedofficialspeaking,2014-11-07 09:15:00,2014-11-07 09:14:00,2014-11-07 09:25:00,109.7578125,109.765625,109.75,109.765625,7.11794433767528e-05,2.0,5317,1464,31.25,166156.25,,,,2014-11-07 08:15:00,0.0,2.0,8098
fedofficialspeaking,2014-11-07 13:30:00,2014-11-07 13:29:00,2014-11-07 13:40:00,109.78125,109.7890625,109.78125,109.78125,0.0,1.0,60,42,15.625,937.5,,,,2014-11-07 12:30:00,7.116931179275497e-05,1.0,662
fedofficialspeaking,2014-11-10 16:10:00,2014-11-10 16:09:00,2014-11-10 16:20:00,109.71875,109.71875,109.7109375,109.7109375,-7.120478496154942e-05,1.0,15,2,15.625,234.375,,,,2014-11-10 15:10:00,-7.120985544399345e-05,1.0,54
fedofficialspeaking,2014-11-12 02:00:00,2014-11-12 01:59:00,2014-11-12 02:10:00,109.71875,109.7265625,109.71875,109.71875,0.0,1.0,706,187,15.625,11031.25,,,,2014-11-12 01:00:00,0.0,0.0,3
fedofficialspeaking,2014-11-12 12:30:00,2014-11-12 12:29:00,2014-11-12 12:40:00,109.7265625,109.7265625,109.71875,109.7265625,0.0,1.0,1188,529,15.625,18562.5,,,,2014-11-12 11:30:00,7.120985544399345e-05,2.0,1141
fedofficialspeaking,2014-11-13 02:30:00,2014-11-13 02:29:00,2014-11-13 02:40:00,109.6953125,109.703125,109.6953125,109.703125,7.121999857560003e-05,1.0,2392,539,15.625,37375.0,,,,2014-11-13 01:30:00,0.0,1.0,641
fedofficialspeaking,2014-11-13 11:30:00,2014-11-13 11:29:00,2014-11-13 11:40:00,109.734375,109.734375,109.734375,109.734375,0.0,0.0,2514,258,0.0,0.0,,,,2014-11-13 10:30:00,-7.118957784580338e-05,1.0,112
fedofficialspeaking,2014-11-13 11:45:00,2014-11-13 11:44:00,2014-11-13 11:55:00,109.734375,109.7421875,109.7265625,109.734375,0.0,2.0,1109,207,31.25,34656.25,,,,2014-11-13 10:45:00,0.0,1.0,922
fedofficialspeaking,2014-11-13 14:30:00,2014-11-13 14:29:00,2014-11-13 14:40:00,109.75,109.7578125,109.75,109.75,0.0,1.0,229,44,15.625,3578.125,,,,2014-11-13 13:30:00,7.118451025056947e-05,2.0,4795
fedofficialspeaking,2014-11-14 08:10:00,2014-11-14 08:09:00,2014-11-14 08:20:00,109.7109375,109.71875,109.703125,109.7109375,0.0,2.0,9862,1016,31.25,308187.5,,,,2014-11-14 07:10:00,-7.118957784580338e-05,2.0,4808
fedofficialspeaking,2014-11-14 15:00:00,2014-11-14 14:59:00,2014-11-14 15:10:00,109.765625,109.7734375,109.765625,109.7734375,7.117437722419929e-05,1.0,781,431,15.625,12203.125,,,,2014-11-14 14:00:00,7.116931179275497e-05,1.0,3753
fedofficialspeaking,2014-11-14 15:00:00,2014-11-14 14:59:00,2014-11-14 15:10:00,109.765625,109.7734375,109.765625,109.7734375,7.117437722419929e-05,1.0,781,431,15.625,12203.125,,,,2014-11-14 14:00:00,7.116931179275497e-05,1.0,3753
fedofficialspeaking,2014-11-17 09:00:00,2014-11-17 08:59:00,2014-11-17 09:10:00,109.7734375,109.78125,109.765625,109.7734375,0.0,2.0,4483,887,31.25,140093.75,,,,2014-11-17 08:00:00,0.0,2.0,5581
fedofficialspeaking,2014-11-18 12:30:00,2014-11-18 12:29:00,2014-11-18 12:40:00,109.796875,109.8046875,109.796875,109.796875,0.0,1.0,466,107,15.625,7281.25,,,,2014-11-18 11:30:00,0.0,1.0,2138
fedofficialspeaking,2014-11-19 13:00:00,2014-11-19 12:59:00,2014-11-19 13:10:00,109.7578125,109.8046875,109.75,109.78125,0.00021353833013025838,7.0,16696,3465,109.375,1826125.0,,,,2014-11-19 12:00:00,0.00021358393848782572,3.0,2483
fedofficialspeaking,2014-11-20 06:45:00,2014-11-20 06:44:00,2014-11-20 06:55:00,109.8046875,109.8125,109.8046875,109.8125,7.114905727499111e-05,1.0,961,162,15.625,15015.625,,,,2014-11-20 05:45:00,0.0,0.0,178
fedofficialspeaking,2014-11-20 12:30:00,2014-11-20 12:29:00,2014-11-20 12:40:00,109.796875,109.8046875,109.796875,109.8046875,7.115411982353779e-05,1.0,19,15,15.625,296.875,,,,2014-11-20 11:30:00,-7.115411982353779e-05,1.0,3413
fedofficialspeaking,2014-11-20 19:30:00,2014-11-20 19:29:00,2014-11-20 19:40:00,109.8125,109.8125,109.8125,109.8125,0.0,0.0,19,9,0.0,0.0,,,,2014-11-20 18:30:00,7.114905727499111e-05,1.0,2
fedofficialspeaking,2014-12-01 11:15:00,2014-12-01 11:14:00,2014-12-01 11:25:00,109.609375,109.609375,109.59375,109.6015625,-7.127583749109053e-05,2.0,4149,904,31.25,129656.25,,,,2014-12-01 10:15:00,0.0,2.0,7749
fedofficialspeaking,2014-12-01 12:00:00,2014-12-01 11:59:00,2014-12-01 12:10:00,109.5859375,109.59375,109.578125,109.59375,7.129108148570614e-05,2.0,3468,971,31.25,108375.0,,,,2014-12-01 11:00:00,0.0,1.0,1393
fedofficialspeaking,2014-12-02 07:10:00,2014-12-02 07:09:00,2014-12-02 07:20:00,109.53125,109.5390625,109.515625,109.515625,-0.0001426533523537803,3.0,12559,1926,46.875,588703.125,,,,2014-12-02 06:10:00,-0.00014264317809000785,2.0,1965
fedofficialspeaking,2014-12-02 07:30:00,2014-12-02 07:29:00,2014-12-02 07:40:00,109.515625,109.5234375,109.4921875,109.5078125,-7.133685261806249e-05,4.0,29229,4074,62.5,1826812.5,,,,2014-12-02 06:30:00,7.132667617689016e-05,1.0,2620
fedofficialspeaking,2014-12-03 11:30:00,2014-12-03 11:29:00,2014-12-03 11:40:00,109.4296875,109.4375,109.4296875,109.4375,7.139287499107589e-05,1.0,2663,432,15.625,41609.375,,,,2014-12-03 10:30:00,0.0,1.0,2625
fedofficialspeaking,2014-12-03 13:00:00,2014-12-03 12:59:00,2014-12-03 13:10:00,109.4296875,109.4296875,109.421875,109.4296875,0.0,1.0,4594,530,15.625,71781.25,,,,2014-12-03 12:00:00,0.0,2.0,5142
fedofficialspeaking,2014-12-03 18:30:00,2014-12-03 18:29:00,2014-12-03 18:40:00,109.4375,109.4375,109.4375,109.4375,0.0,0.0,3,3,0.0,0.0,,,,2014-12-03 17:30:00,7.139287499107589e-05,1.0,3
fedofficialspeaking,2014-12-04 07:30:00,2014-12-04 07:29:00,2014-12-04 07:40:00,109.4453125,109.453125,109.4296875,109.453125,7.138268256121065e-05,3.0,10217,2444,46.875,478921.875,,,,2014-12-04 06:30:00,-0.0001427653651224213,2.0,1138
fedofficialspeaking,2014-12-04 11:30:00,2014-12-04 11:29:00,2014-12-04 11:40:00,109.453125,109.453125,109.4453125,109.453125,0.0,1.0,602,359,15.625,9406.25,,,,2014-12-04 10:30:00,-7.137249304118193e-05,2.0,8360
